-2.86276,-2.1094,4.911,0
-2.6383,-1.99514,4.645,0
-2.46824,-1.91697,4.463,0
-2.40155,-1.91697,4.463,0
-2.24697,-1.84481,4.295,0
-2.1828,-1.84481,4.295,0
-2.11862,-1.84481,4.295,0
-2.05444,-1.84481,4.295,0
-1.94161,-1.79971,4.19,0
-1.879,-1.79971,4.19,0
-1.79429,-1.7778,4.139,0
-1.75379,-1.79971,4.19,0
-1.73356,-1.84481,4.295,0
-1.73468,-1.91697,4.463,0
-1.668,-1.91697,4.463,0
-1.64401,-1.96808,4.582,0
-1.64156,-2.05055,4.774,0
-1.61529,-2.1094,4.911,0
-1.58744,-2.17168,5.056,0
-1.53462,-2.20432,5.132,0
-1.57611,-2.38301,5.548,0
-1.49321,-2.38301,5.548,0
-1.4337,-2.42252,5.64,0
-1.34943,-2.42252,5.64,0
-1.28624,-2.4629,5.734,0
-1.20056,-2.4629,5.734,0
1.88774,-2.17168,5.056,0
1.93494,-2.14032,4.983,0
2.00939,-2.14032,4.983,0
2.11438,-2.17168,5.056,0
2.15831,-2.14032,4.983,0
2.2005,-2.1094,4.911,0
2.24193,-2.07976,4.842,0
2.28178,-2.05055,4.774,0
2.35312,-2.05055,4.774,0
2.42445,-2.05055,4.774,0
2.36404,-1.94231,4.522,0
2.33847,-1.86792,4.3488,0
-2.6383,-1.92623,4.645,0
-2.50087,-1.87522,4.522,0
-2.31115,-1.78109,4.295,0
-2.27512,-1.8034,4.3488,0
-2.1828,-1.78109,4.295,0
-2.11862,-1.78109,4.295,0
-2.02861,-1.75869,4.241,0
-1.96524,-1.75869,4.241,0
-1.879,-1.73754,4.19,0
-1.79429,-1.7164,4.139,0
-1.77514,-1.75869,4.241,0
-1.73356,-1.78109,4.295,0
-1.71214,-1.8267,4.405,0
-1.668,-1.85075,4.463,0
-1.64401,-1.9001,4.582,0
-1.61887,-1.95235,4.708,0
-1.61529,-2.03653,4.911,0
-1.56452,-2.06639,4.983,0
-1.55794,-2.16053,5.21,0
2.35312,-1.97972,4.774,0
2.42445,-1.97972,4.774,0
2.39541,-1.9001,4.582,0
2.3687,-1.8267,4.405,0
-2.6383,-1.85731,4.645,0
-2.50087,-1.80813,4.522,0
-2.40155,-1.78454,4.463,0
